mun,edo,fecha,man,urban,d_victim_crime,n_victim_crime,d_murder,n_murder,d_dissappeared,family_dis,perception_sec
Dolores Hidalgo,Guanajuato,12feb2019,1,1,0,,0,,1,0,2
Mérida,Yucatán,03mar2019,0,1,0,,0,,1,0,3
Othón P. Blanco,Quintana Roo,04mar2019,0,0,0,,0,,1,0,3
Amatán,Chiapas,08mar2019,0,0,0,,1,3,1,0,2
Tijuana,Baja California,27feb2019,0,1,0,,0,,1,0,3
Othón P. Blanco,Quintana Roo,04mar2019,0,1,0,,1,3,1,0,1
Mérida,Yucatán,03mar2019,0,1,0,,0,,0,0,4
Paraíso,Tabasco,02mar2019,0,0,0,,0,,1,1,3
Tampico,Tamaulipas,03mar2019,0,1,0,,0,,1,0,3
Othón P. Blanco,Quintana Roo,04mar2019,1,1,0,,0,,1,0,2
Tijuana,Baja California,27feb2019,1,1,0,,1,3,1,0,2
Amatán,Chiapas,09mar2019,0,0,0,,1,3,1,0,4
Zapotlán El Grande,Jalisco,13feb2019,1,1,0,,0,,1,0,1
Paraíso,Tabasco,02mar2019,1,0,0,,0,,1,0,3
Tepeji del Río de Ocampo,Hidalgo,10feb2019,0,0,0,,0,,1,0,2
Ahuacatlán,Nayarit,07mar2019,0,1,0,,0,,1,0,2
Othón P. Blanco,Quintana Roo,04mar2019,1,0,0,,0,,0,0,3
Coatzacoalcos,Veracruz,24feb2019,1,1,0,,0,,1,0,2
Moroleón,Guanajuato,16feb2019,1,1,0,,1,3,1,0,4
Moroleón,Guanajuato,16feb2019,0,1,0,,1,1,1,0,3
Honey,Puebla,08mar2019,0,0,0,,0,,1,0,2
Iztapalapa,Distrito Federal,30jan2019,1,1,0,,1,2,1,1,3
Paraíso,Tabasco,02mar2019,1,0,0,,0,,1,1,4
Cosoleacaque,Veracruz,23feb2019,0,1,0,,0,,1,1,3
Coatzacoalcos,Veracruz,24feb2019,1,1,0,,1,2,1,0,3
Hopelchén,Campeche,05mar2019,1,0,0,,1,3,1,0,2
Tijuana,Baja California,27feb2019,0,1,0,,1,1,1,0,3
Hueyapan de Ocampo,Veracruz,22feb2019,1,0,0,,0,,1,0,3
Monterrey,Nuevo León,28feb2019,1,1,0,,1,2,1,0,4
Monterrey,Nuevo León,26feb2019,1,1,0,,1,2,1,0,3
Mérida,Yucatán,03mar2019,1,1,0,,0,,1,0,1
León,Guanajuato,13feb2019,1,0,0,,1,3,1,0,3
Zitácuaro,Michoacán,03feb2019,1,0,0,,0,,1,0,2
Cosoleacaque,Veracruz,23feb2019,1,1,0,,1,3,1,0,2
Naucalpan de Juárez,Estado de México,07feb2019,0,1,0,,0,,1,0,3
Leonardo Bravo,Guerrero,01mar2019,1,1,0,,0,,1,0,2
Morelia,Michoacán,09feb2019,1,1,0,,0,,1,0,3
Gustavo A. Madero,Distrito Federal,04feb2019,0,1,0,,0,,1,0,4
Hopelchén,Campeche,05mar2019,1,0,0,,0,,1,0,4
Toluca,Estado de México,05feb2019,1,0,0,,0,,1,0,3
Moroleón,Guanajuato,16feb2019,1,1,0,,1,2,0,0,2
Tepeji del Río de Ocampo,Hidalgo,10feb2019,1,0,0,,0,,1,0,4
San Cristóbal,Chiapas,06mar2019,0,1,0,,0,,1,0,.a
Atizapán de Zaragoza,Estado de México,14feb2019,0,1,0,,1,2,1,0,2
Ahuacatlán,Nayarit,07mar2019,0,1,0,,0,,1,0,1
Ixtapaluca,Estado de México,02feb2019,1,1,0,,0,,1,0,2
León,Guanajuato,15feb2019,0,1,0,,0,,0,0,2
Zitácuaro,Michoacán,06feb2019,1,0,0,,0,,1,0,2
Amatán,Chiapas,09mar2019,0,0,0,,1,2,1,0,2
Lerdo,Durango,23feb2019,1,0,0,,1,1,1,0,4
Ciudad Juárez,Chihuahua,24feb2019,0,1,0,,1,2,1,1,3
Bochil,Chiapas,08mar2019,0,1,0,,1,3,1,0,4
Hopelchén,Campeche,05mar2019,0,0,0,,0,,1,0,2
Centro,Tabasco,01mar2019,0,1,0,,0,,1,0,2
Ecatepec de Morelos,Estado de México,01feb2019,0,1,0,,0,,1,0,.b
San Lucas Ojitlán,Oaxaca,12feb2019,0,0,0,,0,,1,0,1
Huaquechula,Puebla,08feb2019,1,0,0,,0,,1,0,2
Pénjamo,Guanajuato,14feb2019,0,0,0,,0,,1,0,1
Rosario,Sinaloa,05mar2019,1,1,0,,0,,1,0,1
Toluca,Estado de México,21mar2019,1,1,0,,0,,1,0,2
Ecatepec de Morelos,Estado de México,01feb2019,1,1,0,,0,,1,0,2
San Cristóbal,Chiapas,06mar2019,1,1,0,,1,3,1,0,3
Cuautitlán Izcalli,Estado de México,05feb2019,1,1,0,,1,.a,1,0,2
San Lucas Ojitlán,Oaxaca,12feb2019,1,0,0,,0,,1,0,3
Centro,Tabasco,01mar2019,1,1,0,,0,,1,0,3
Villagrán,Tamaulipas,02mar2019,0,1,0,,0,,1,0,.b
Uxpanapa,Veracruz,11feb2019,0,0,0,,0,,0,0,1
Tlalnepantla de Baz,Estado de México,30jan2019,0,1,0,,1,3,0,0,2
Tampico,Tamaulipas,03mar2019,0,1,0,,0,,1,0,4
Monclova,Coahuila,24feb2019,1,1,0,,0,,1,0,1
Mesones Hidalgo,Oaxaca,15feb2019,0,1,0,,0,,0,0,4
Monterrey,Nuevo León,26feb2019,0,1,0,,1,3,1,0,1
Ixtapaluca,Estado de México,04feb2019,0,1,0,,0,,1,0,.a
San Cristóbal,Chiapas,06mar2019,1,1,0,,0,,1,0,4
Hopelchén,Campeche,05mar2019,1,0,0,,0,,1,1,4
Naucalpan de Juárez,Estado de México,07feb2019,0,1,0,,0,,1,0,3
Centro,Tabasco,01mar2019,0,1,0,,0,,1,0,3
Mexicali,Baja California,26feb2019,1,1,0,,0,,0,0,2
Chihuahua,Chihuahua,24feb2019,1,1,0,,1,2,1,0,1
